GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-base-autoconfigure,org.bremersee.converter,ModelMapperAutoConfiguration,0,44,0,0,0,12,0,5,0,5
common-base-autoconfigure,org.bremersee.thymeleaf,AdditionalThymeleafProperties.ResolverProperties,371,524,106,50,0,28,73,53,1,47
common-base-autoconfigure,org.bremersee.thymeleaf,AdditionalThymeleafAutoConfiguration,5,234,3,31,1,65,3,19,0,5
common-base-autoconfigure,org.bremersee.thymeleaf,AdditionalThymeleafProperties,31,49,7,7,1,4,7,7,2,5
common-base-autoconfigure,org.bremersee.data.redis,EmbeddedRedisAutoConfiguration,0,49,0,0,0,11,0,4,0,4
common-base-autoconfigure,org.bremersee.web.servlet,BaseCommonConvertersAutoConfiguration,0,18,0,0,0,7,0,4,0,4
common-base-autoconfigure,org.bremersee.web.servlet,ApiExceptionResolverAutoConfiguration,0,47,0,0,0,17,0,4,0,4
common-base-autoconfigure,org.bremersee.web.servlet,CorsAutoConfiguration,1,77,1,3,1,18,1,5,0,4
common-base-autoconfigure,org.bremersee.http.converter,ObjectMapperHelper,0,35,0,0,0,10,0,2,0,2
common-base-autoconfigure,org.bremersee.context,MessageSourceAutoConfiguration,12,143,2,6,3,35,2,10,0,8
common-base-autoconfigure,org.bremersee.context,MessageSourceProperties,158,227,40,20,0,14,29,26,1,24
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveConnectionPoolFactory,0,4,0,0,0,1,0,1,0,1
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveAutoConfiguration,51,105,4,6,15,26,5,9,2,7
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveProperties,315,435,56,38,0,27,43,55,1,50
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveConnectionConfigFactory.Default,9,146,10,18,1,36,8,12,0,6
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveConnectionPoolFactory.Default,0,102,4,4,0,25,4,5,0,5
common-base-autoconfigure,org.bremersee.data.ldaptive,LdaptiveConnectionConfigFactory,0,15,0,0,0,5,0,2,0,2
common-base-autoconfigure,org.bremersee.data.ldaptive,UnboundIdProviderAutoConfiguration,0,7,0,0,0,2,0,2,0,2
common-base-autoconfigure,org.bremersee.security.access,AccessControlAutoConfiguration,0,138,0,0,0,33,0,9,0,9
common-base-autoconfigure,org.bremersee.security.access,AccessControlProperties,23,173,15,15,0,11,13,15,0,13
common-base-autoconfigure,org.bremersee.web,CorsProperties,60,113,16,14,1,15,13,15,1,12
common-base-autoconfigure,org.bremersee.web,CorsProperties.CorsConfiguration,148,243,36,28,3,30,28,24,2,18
common-base-autoconfigure,org.bremersee.security.authentication,RedisCondition.JedisConnectionFactoryCondition,3,0,0,0,1,0,1,0,1,0
common-base-autoconfigure,org.bremersee.security.authentication,InMemoryUserDetailsAutoConfiguration,0,47,0,2,0,10,0,6,0,5
common-base-autoconfigure,org.bremersee.security.authentication,AutoSecurityMode,0,34,0,0,0,4,0,1,0,1
common-base-autoconfigure,org.bremersee.security.authentication,AccessTokenCacheAutoConfiguration,0,7,0,0,0,2,0,2,0,2
common-base-autoconfigure,org.bremersee.security.authentication,ReactiveInMemoryUserDetailsAutoConfiguration,0,47,0,2,0,10,0,6,0,5
common-base-autoconfigure,org.bremersee.security.authentication,ResourceServerAutoConfiguration,0,30,0,0,0,10,0,5,0,5
common-base-autoconfigure,org.bremersee.security.authentication,AccessExpressionUtils,0,290,1,31,0,64,1,33,0,18
common-base-autoconfigure,org.bremersee.security.authentication,AuthProperties,111,694,78,56,0,57,65,44,1,41
common-base-autoconfigure,org.bremersee.security.authentication,ResourceServerAutoSecurityCondition,1,22,1,1,0,3,1,2,0,2
common-base-autoconfigure,org.bremersee.security.authentication,JwtSupportAutoConfiguration,0,134,0,0,0,34,0,6,0,6
common-base-autoconfigure,org.bremersee.security.authentication,ReactiveInMemoryUserDetailsAutoConfiguration.ReactiveUserDetailsServiceCondition.RSocketSecurityEnabledCondition,3,0,0,0,1,0,1,0,1,0
common-base-autoconfigure,org.bremersee.security.authentication,JwtSupportCondition,0,25,1,3,0,4,1,3,0,2
common-base-autoconfigure,org.bremersee.security.authentication,ReactiveInMemoryUserDetailsAutoConfiguration.ReactiveUserDetailsServiceCondition,0,4,0,0,0,2,0,1,0,1
common-base-autoconfigure,org.bremersee.security.authentication,AuthProperties.ClientCredentialsFlow,12,110,7,15,0,7,7,15,0,11
common-base-autoconfigure,org.bremersee.security.authentication,AuthProperties.SimpleUser,44,101,11,13,0,11,9,15,1,11
common-base-autoconfigure,org.bremersee.security.authentication,PasswordFlowReactiveAuthenticationManager,0,107,1,1,0,25,1,8,0,8
common-base-autoconfigure,org.bremersee.security.authentication,ReactiveResourceServerAutoConfiguration,0,25,0,0,0,7,0,5,0,5
common-base-autoconfigure,org.bremersee.security.authentication,AuthProperties.PathMatcherProperties,43,174,13,19,0,25,10,25,1,18
common-base-autoconfigure,org.bremersee.security.authentication,AccessTokenCacheAutoConfiguration.WithRedis,0,32,0,0,0,11,0,3,0,3
