GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,MethodDescription,93,65,22,2,1,10,15,5,3,5
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestResponseBuilder.Default,4,33,1,3,1,9,1,3,0,2
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestCookiesBuilder,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,InvocationFunctions,92,79,17,1,18,31,18,12,9,12
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestResponseBuilder,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,WebClientInvocationHandler,0,103,1,1,0,22,1,6,0,6
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,InvocationUtils,230,804,41,63,25,121,47,95,16,74
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestBodyInserter.Default,7,120,1,11,1,22,1,14,0,9
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,WebClientProxyBuilder,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestUriSpecBuilder.Default,55,40,15,7,14,10,10,6,0,2
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestUriBuilder,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestHeadersBuilder.Default,3,60,1,7,0,12,1,5,0,2
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestUriSpecBuilder,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,WebClientProxyBuilder.Default,22,40,5,1,5,8,5,3,2,3
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestCookiesBuilder.Default,3,60,1,7,0,12,1,5,0,2
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestUriBuilder.Default,0,31,0,0,0,8,0,2,0,2
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,InvocationFunctions.InvocationFunctionsBuilder,110,0,0,0,1,0,11,0,11,0
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestHeadersBuilder,0,45,0,4,0,15,0,6,0,4
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,InvocationParameters,0,21,0,0,0,4,0,4,0,4
common-base-reactive,org.bremersee.web.reactive.function.client.proxy,RequestBodyInserter,0,4,0,0,0,1,0,1,0,1
common-base-reactive,org.bremersee.http.codec.xml,ReactiveJaxbDecoder,217,41,18,2,46,9,16,3,7,2
common-base-reactive,org.bremersee.http.codec.xml,ReactiveJaxbDecoder.SplitFunction,92,0,16,0,22,0,10,0,2,0
common-base-reactive,org.bremersee.http.codec.xml,ReactiveJaxbEncoder,99,36,6,2,19,8,5,3,2,2
common-base-reactive,org.bremersee.web.reactive.function.client,PasswordFlowTokenAppender,0,170,2,4,0,43,2,11,0,10
common-base-reactive,org.bremersee.web.reactive.function.client,DefaultWebClientErrorDecoder,28,37,9,1,5,10,6,3,1,3
common-base-reactive,org.bremersee.web.reactive.function.client,JwtAuthenticationTokenAppender,0,60,0,2,0,15,0,7,0,6
common-base-reactive,org.bremersee.web.reactive.function.client,MessageAwareWebClientErrorDecoder,5,70,1,3,2,18,2,8,1,7
common-base-reactive,org.bremersee.web.reactive.function.client,WebClientException,2,27,2,2,0,7,2,4,0,4
common-base-reactive,org.bremersee.web.reactive.function.client,AbstractWebClientErrorDecoder,0,19,0,0,0,5,0,3,0,3
common-base-reactive,org.bremersee.security.authentication,KeycloakReactiveJwtConverter,13,0,0,0,4,0,2,0,2,0
common-base-reactive,org.bremersee.security.authentication,PasswordFlowAccessTokenReactiveRetriever,52,10,2,0,19,4,5,2,4,2
common-base-reactive,org.bremersee.security.authentication,PasswordFlowReactiveAuthenticationManager,30,83,1,1,7,18,3,5,2,5
common-base-reactive,org.bremersee.web.reactive,ApiExceptionHandler,25,196,6,10,3,44,10,7,4,5
