GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,MethodDescription,79,65,22,2,1,10,15,5,3,5
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestResponseBuilder.Default,4,33,1,3,1,9,1,3,0,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestCookiesBuilder,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,InvocationFunctions,64,107,8,10,9,40,16,14,8,13
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestResponseBuilder,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,WebClientInvocationHandler,6,135,3,9,1,29,3,9,0,6
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,InvocationUtils,224,808,43,69,26,132,47,96,14,73
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestBodyInserter.Default,7,103,2,16,1,18,2,11,0,4
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,WebClientProxyBuilder,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestUriSpecBuilder.Default,47,40,15,7,14,10,10,6,0,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestUriBuilder,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestHeadersBuilder.Default,3,60,1,7,0,12,1,5,0,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestUriSpecBuilder,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,WebClientProxyBuilder.Default,17,45,5,1,3,10,4,4,1,4
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestUriBuilder.Default,0,31,0,0,0,8,0,2,0,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestHeadersBuilder,4,50,1,5,1,17,1,6,0,4
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,InvocationFunctions.InvocationFunctionsBuilder,58,23,0,0,0,1,9,2,9,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestCookiesBuilder.Default,3,60,1,7,0,12,1,5,0,2
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,InvocationParameters,0,21,0,0,0,4,0,4,0,4
common-base-webflux,org.bremersee.web.reactive.function.client.proxy,RequestBodyInserter,0,4,0,0,0,1,0,1,0,1
common-base-webflux,org.bremersee.http.codec.xml,ReactiveJaxbDecoder,165,131,15,5,40,28,13,12,5,10
common-base-webflux,org.bremersee.http.codec.xml,ReactiveJaxbEncoder,36,87,5,5,8,21,5,6,1,5
common-base-webflux,org.bremersee.http.codec.xml,ReactiveJaxbDecoder.SplitHandler,91,0,16,0,22,0,10,0,2,0
common-base-webflux,org.bremersee.web.reactive.multipart,MultipartFileBuilder,6,68,11,15,0,16,11,6,0,4
common-base-webflux,org.bremersee.web.reactive.multipart,MultipartFileBuilderImpl,43,309,11,17,11,73,15,30,4,27
common-base-webflux,org.bremersee.web.reactive.function.client,AccessTokenAppender,6,62,0,2,2,16,1,8,1,7
common-base-webflux,org.bremersee.web.reactive.function.client,DefaultWebClientErrorDecoder,16,45,7,3,2,12,4,5,0,4
common-base-webflux,org.bremersee.web.reactive.function.client,MessageAwareWebClientErrorDecoder,0,75,1,3,0,20,1,9,0,8
common-base-webflux,org.bremersee.web.reactive.function.client,WebClientException,2,31,2,2,0,8,2,5,0,5
common-base-webflux,org.bremersee.web.reactive.function.client,AbstractWebClientErrorDecoder,0,19,0,0,0,5,0,3,0,3
common-base-webflux,org.bremersee.security.core,ReactiveUserContextCaller,10,177,2,4,0,55,4,20,2,19
common-base-webflux,org.bremersee.security.authentication,RoleOrIpBasedAuthorizationManager,0,31,0,0,0,8,0,3,0,3
common-base-webflux,org.bremersee.security.authentication,WebClientAccessTokenRetriever,32,99,2,4,7,29,6,9,4,8
common-base-webflux,org.bremersee.security.authentication,ReactiveAccessTokenCache,5,0,0,0,1,0,1,0,1,0
common-base-webflux,org.bremersee.security.authentication,IpBasedAuthorizationManager,0,76,0,4,0,21,0,9,0,7
common-base-webflux,org.bremersee.security.authentication,RoleBasedAuthorizationManager,3,55,0,6,0,15,1,7,1,4
common-base-webflux,org.bremersee.security.authentication,ReactiveAccessTokenProviders,6,26,0,0,1,7,1,5,1,5
common-base-webflux,org.bremersee.security.authentication,JsonPathReactiveJwtConverter,65,26,14,2,2,6,11,4,4,3
common-base-webflux,org.bremersee.security.authentication,ReactiveAccessTokenCache.new ReactiveAccessTokenCache() {...},28,0,0,0,5,0,4,0,4,0
common-base-webflux,org.bremersee.security,ReactiveIpAddressMatcher,1,30,1,1,0,10,1,3,0,3
