GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-base,org.bremersee.http,MediaTypeHelper,28,84,18,22,7,13,18,11,2,7
common-base,org.bremersee.http,HttpHeadersHelper,7,32,2,6,2,8,2,4,0,2
common-base,org.bremersee.http.converter,ObjectMapperHelper,0,35,0,0,0,10,0,2,0,2
common-base,org.bremersee.exception.feign,FeignClientException,0,60,0,10,0,14,0,11,0,6
common-base,org.bremersee.exception.feign,FeignClientExceptionErrorDecoder,68,108,16,10,22,25,14,6,2,5
common-base,org.bremersee.security.access,AccessControlEntryComparator,2,25,4,4,0,4,4,2,0,2
common-base,org.bremersee.security.access,AclMapperImpl,13,127,1,13,3,46,3,13,2,7
common-base,org.bremersee.security.access,AclFactory.DtoAclFactory,0,63,1,1,0,21,1,3,0,3
common-base,org.bremersee.security.access,AclFactory,0,4,0,0,0,1,0,1,0,1
common-base,org.bremersee.security.access,AccessController,22,80,9,11,1,13,9,9,1,7
common-base,org.bremersee.security.access,AclMapper,5,24,0,2,1,6,1,4,1,3
common-base,org.bremersee.security.access,AclBuilder,0,35,0,0,0,5,0,6,0,6
common-base,org.bremersee.security.access,PermissionConstants,0,24,0,0,0,1,0,1,0,1
common-base,org.bremersee.security.access,AceImpl,45,116,8,8,5,22,9,9,1,9
common-base,org.bremersee.security.access,AclBuilder.Impl,1,583,23,37,0,135,23,53,0,46
common-base,org.bremersee.security.access,AccessController.Impl,12,81,6,18,6,19,7,10,1,4
common-base,org.bremersee.security.access,AclImpl,21,67,5,5,3,15,6,6,1,6
common-base,org.bremersee.web,ErrorDetectors,0,15,0,4,0,3,0,4,0,2
common-base,org.bremersee.security.authentication,BremerseeAuthenticationToken,3,0,0,0,1,0,1,0,1,0
common-base,org.bremersee.security.authentication,AbstractPasswordFlowAuthenticationManager,52,0,2,0,16,0,5,0,4,0
common-base,org.bremersee.security.authentication,KeycloakJwtAuthenticationToken,7,18,1,1,3,4,2,2,1,2
common-base,org.bremersee.security.authentication,KeycloakJwtConverter,11,77,5,5,2,16,5,4,0,4
common-base,org.bremersee.security,CorsProperties,47,97,12,10,1,13,10,12,1,10
common-base,org.bremersee.security,OAuth2Properties.PasswordFlowProperties,282,0,48,0,10,0,41,0,17,0
common-base,org.bremersee.security,CorsProperties.CorsConfiguration,125,254,30,26,3,30,23,23,1,17
common-base,org.bremersee.security,OAuth2Helper,33,0,2,0,9,0,2,0,1,0
common-base,org.bremersee.security,OAuth2Properties,88,0,14,0,5,0,14,0,7,0
common-base,org.bremersee.exception,MessageExceptionParser,5,0,0,0,2,0,2,0,2,0
common-base,org.bremersee.exception,RestApiExceptionUtils,8,18,2,2,3,7,1,3,0,2
common-base,org.bremersee.exception,HttpClientException,60,99,17,9,0,10,14,7,1,7
common-base,org.bremersee.exception,RestApiExceptionMapperProperties.ExceptionMapping,79,157,22,14,1,20,17,16,1,14
common-base,org.bremersee.exception,RestApiExceptionParserImpl,17,144,5,27,5,43,6,16,1,5
common-base,org.bremersee.exception,ServiceException,152,295,26,6,17,55,22,39,7,38
common-base,org.bremersee.exception,RestApiExceptionMapperProperties,140,314,42,26,8,42,31,24,1,20
common-base,org.bremersee.exception,PasswordFlowAuthenticationException,70,0,14,0,16,0,10,0,3,0
common-base,org.bremersee.exception,RestApiExceptionMapperProperties.ExceptionMappingConfig,118,244,27,15,0,20,20,23,1,21
common-base,org.bremersee.exception,RestApiExceptionMapperImpl,321,340,71,49,80,100,53,26,3,16
